DOI	
10.18653/v1/2020.findings-emnlp.372	388
10.18653/v1/2020.findings-emnlp.139	151
10.18653/v1/2020.findings-emnlp.171	132
10.18653/v1/2020.findings-emnlp.217	118
10.18653/v1/2020.findings-emnlp.117	96
10.18653/v1/2020.findings-emnlp.63	80
10.18653/v1/2020.findings-emnlp.92	72
10.18653/v1/2020.findings-emnlp.58	71
10.18653/v1/2020.findings-emnlp.196	66
10.18653/v1/2020.findings-emnlp.17	64
10.18653/v1/2020.findings-emnlp.301	60
10.18653/v1/2020.findings-emnlp.165	57
10.18653/v1/2020.findings-emnlp.232	53
10.18653/v1/2020.findings-emnlp.261	53
10.18653/v1/2020.findings-emnlp.292	46
10.18653/v1/2020.findings-emnlp.445	46
10.18653/v1/2020.findings-emnlp.91	41
10.18653/v1/2020.findings-emnlp.147	41
10.18653/v1/2020.findings-emnlp.71	40
10.18653/v1/2020.findings-emnlp.106	38
10.18653/v1/2020.findings-emnlp.148	36
10.18653/v1/2020.findings-emnlp.414	36
10.18653/v1/2020.findings-emnlp.49	34
10.18653/v1/2020.findings-emnlp.7	32
10.18653/v1/2020.findings-emnlp.425	31
10.18653/v1/2020.findings-emnlp.428	30
10.18653/v1/2020.findings-emnlp.291	29
10.18653/v1/2020.findings-emnlp.65	27
10.18653/v1/2020.findings-emnlp.195	27
10.18653/v1/2020.findings-emnlp.19	26
10.18653/v1/2020.findings-emnlp.125	26
10.18653/v1/2020.findings-emnlp.369	26
10.18653/v1/2020.findings-emnlp.399	26
10.18653/v1/2020.findings-emnlp.438	25
10.18653/v1/2020.findings-emnlp.27	23
10.18653/v1/2020.findings-emnlp.207	23
10.18653/v1/2020.findings-emnlp.314	22
10.18653/v1/2020.findings-emnlp.224	21
10.18653/v1/2020.findings-emnlp.22	20
10.18653/v1/2020.findings-emnlp.107	20
10.18653/v1/2020.findings-emnlp.440	19
10.18653/v1/2020.findings-emnlp.283	18
10.18653/v1/2020.findings-emnlp.341	18
10.18653/v1/2020.findings-emnlp.398	18
10.18653/v1/2020.findings-emnlp.128	17
10.18653/v1/2020.findings-emnlp.219	17
10.18653/v1/2020.findings-emnlp.89	16
10.18653/v1/2020.findings-emnlp.134	16
10.18653/v1/2020.findings-emnlp.168	16
10.18653/v1/2020.findings-emnlp.225	16
10.18653/v1/2020.findings-emnlp.240	16
10.18653/v1/2020.findings-emnlp.272	16
10.18653/v1/2020.findings-emnlp.307	16
10.18653/v1/2020.findings-emnlp.309	16
10.18653/v1/2020.findings-emnlp.360	16
10.18653/v1/2020.findings-emnlp.41	15
10.18653/v1/2020.findings-emnlp.90	15
10.18653/v1/2020.findings-emnlp.153	15
10.18653/v1/2020.findings-emnlp.298	15
10.18653/v1/2020.findings-emnlp.346	15
10.18653/v1/2020.findings-emnlp.378	15
10.18653/v1/2020.findings-emnlp.387	15
10.18653/v1/2020.findings-emnlp.390	15
10.18653/v1/2020.findings-emnlp.68	14
10.18653/v1/2020.findings-emnlp.150	14
10.18653/v1/2020.findings-emnlp.163	14
10.18653/v1/2020.findings-emnlp.180	14
10.18653/v1/2020.findings-emnlp.203	14
10.18653/v1/2020.findings-emnlp.234	14
10.18653/v1/2020.findings-emnlp.1	13
10.18653/v1/2020.findings-emnlp.3	13
10.18653/v1/2020.findings-emnlp.73	13
10.18653/v1/2020.findings-emnlp.111	13
10.18653/v1/2020.findings-emnlp.157	13
10.18653/v1/2020.findings-emnlp.308	13
10.18653/v1/2020.findings-emnlp.311	13
10.18653/v1/2020.findings-emnlp.371	13
10.18653/v1/2020.findings-emnlp.418	13
10.18653/v1/2020.findings-emnlp.39	12
10.18653/v1/2020.findings-emnlp.43	12
10.18653/v1/2020.findings-emnlp.123	12
10.18653/v1/2020.findings-emnlp.211	12
10.18653/v1/2020.findings-emnlp.322	12
10.18653/v1/2020.findings-emnlp.326	12
10.18653/v1/2020.findings-emnlp.334	12
10.18653/v1/2020.findings-emnlp.394	12
10.18653/v1/2020.findings-emnlp.415	12
10.18653/v1/2020.findings-emnlp.424	12
10.18653/v1/2020.findings-emnlp.44	11
10.18653/v1/2020.findings-emnlp.102	11
10.18653/v1/2020.findings-emnlp.178	11
10.18653/v1/2020.findings-emnlp.206	11
10.18653/v1/2020.findings-emnlp.209	11
10.18653/v1/2020.findings-emnlp.215	11
10.18653/v1/2020.findings-emnlp.405	11
10.18653/v1/2020.findings-emnlp.30	10
10.18653/v1/2020.findings-emnlp.112	10
10.18653/v1/2020.findings-emnlp.118	10
10.18653/v1/2020.findings-emnlp.263	10
10.18653/v1/2020.findings-emnlp.332	10
10.18653/v1/2020.findings-emnlp.352	10
10.18653/v1/2020.findings-emnlp.389	10
10.18653/v1/2020.findings-emnlp.55	9
10.18653/v1/2020.findings-emnlp.76	9
10.18653/v1/2020.findings-emnlp.103	9
10.18653/v1/2020.findings-emnlp.129	9
10.18653/v1/2020.findings-emnlp.145	9
10.18653/v1/2020.findings-emnlp.213	9
