DOI	SemanticScholar Citation Count	Note
10.18653/v1/2020.emnlp-main.1	4	
10.18653/v1/2020.emnlp-main.2	0	
10.18653/v1/2020.emnlp-main.3	7	
10.18653/v1/2020.emnlp-main.4	5	
10.18653/v1/2020.emnlp-main.5	43	
10.18653/v1/2020.emnlp-main.6	17	
10.18653/v1/2020.emnlp-main.7	8	
10.18653/v1/2020.emnlp-main.8	23	
10.18653/v1/2020.emnlp-main.9	16	
10.18653/v1/2020.emnlp-main.10	16	
10.18653/v1/2020.emnlp-main.11	21	
10.18653/v1/2020.emnlp-main.12	18	
10.18653/v1/2020.emnlp-main.13	8	
10.18653/v1/2020.emnlp-main.14	94	
10.18653/v1/2020.emnlp-main.15	13	
10.18653/v1/2020.emnlp-main.16	16	
10.18653/v1/2020.emnlp-main.17	7	
10.18653/v1/2020.emnlp-main.18	9	
10.18653/v1/2020.emnlp-main.19	61	
10.18653/v1/2020.emnlp-main.20	18	
10.18653/v1/2020.emnlp-main.21	47	
10.18653/v1/2020.emnlp-main.22	1	
10.18653/v1/2020.emnlp-main.23	24	
10.18653/v1/2020.emnlp-main.24	14	
10.18653/v1/2020.emnlp-main.25	1	
10.18653/v1/2020.emnlp-main.26	1	
10.18653/v1/2020.emnlp-main.27	10	
10.18653/v1/2020.emnlp-main.28	16	
10.18653/v1/2020.emnlp-main.29	8	
10.18653/v1/2020.emnlp-main.30	4	
10.18653/v1/2020.emnlp-main.31	13	
10.18653/v1/2020.emnlp-main.32	4	
10.18653/v1/2020.emnlp-main.33	10	
10.18653/v1/2020.emnlp-main.34	0	
10.18653/v1/2020.emnlp-main.35	10	
10.18653/v1/2020.emnlp-main.36	15	
10.18653/v1/2020.emnlp-main.37	28	
10.18653/v1/2020.emnlp-main.38	20	
10.18653/v1/2020.emnlp-main.39	7	
10.18653/v1/2020.emnlp-main.40	12	
10.18653/v1/2020.emnlp-main.41	10	
10.18653/v1/2020.emnlp-main.42	13	
10.18653/v1/2020.emnlp-main.43	8	
10.18653/v1/2020.emnlp-main.44	11	
10.18653/v1/2020.emnlp-main.45	7	
10.18653/v1/2020.emnlp-main.46	1	
10.18653/v1/2020.emnlp-main.47	5	
10.18653/v1/2020.emnlp-main.48	20	
10.18653/v1/2020.emnlp-main.49	43	
10.18653/v1/2020.emnlp-main.50	13	
10.18653/v1/2020.emnlp-main.51	21	
10.18653/v1/2020.emnlp-main.52	3	
10.18653/v1/2020.emnlp-main.53	4	
